unobserved_strength,seed,generator,iteration,selection_severity,frontier_severity,passed,naive_declined_ece,reweight_declined_ece,retrain_declined_ece,naive_declined_empc,naive_declined_emp_h,reweight_declined_empc,reweight_declined_emp_h,exploration_cost
0.0,1192,scm,3,0.6,0.4,False,0.27338023884308266,0.2506941205307315,0.24173366124704318,0.04839222475817046,0.0030665665566100976,0.046784244188930124,0.003671965864295201,0.0
0.0,1208,scm,0,0.0,0.2,True,0.043230911975781404,0.04363027832187955,0.025482114530530824,0.01898487207678183,0.03932647602328957,0.018672423769712822,0.040113144838325204,0.0
0.0,1208,scm,1,0.2,0.2,True,0.03253972470708512,0.03736409624200933,0.04063046439739886,0.030269485781879144,0.0311160527469758,0.03063743593490338,0.03281398893359686,0.0
0.0,1208,scm,2,0.4,0.2,False,0.12592701920042962,0.10770414180904768,0.13019972834744456,0.04097858856508112,0.019262929269123034,0.03885492230346511,0.017973740596409434,0.0
0.0,1224,scm,0,0.0,0.4,True,0.02274364581906273,0.02564922992144584,0.020938163158834556,0.015972176093666662,0.038562736398892405,0.015014583547030409,0.04081342992453301,0.0
0.0,1224,scm,1,0.2,0.4,True,0.05126085871831478,0.060903444809499295,0.0496173964337172,0.028727551749344195,0.027353261196817556,0.029542620858769165,0.02717051241369093,0.0
0.0,1224,scm,2,0.4,0.4,True,0.07806096380381214,0.07256073314185027,0.08736922892291672,0.04156980991014938,0.015441504816570454,0.040553698268614755,0.015117953472362658,0.0
0.0,1224,scm,3,0.6,0.4,False,0.23922619179887492,0.2159784106838318,0.21398716997838693,0.050036692819468584,0.005083894152877573,0.048870183419645094,0.003415146289968289,0.0
0.0,1240,scm,0,0.0,0.4,True,0.012585171935967707,0.018112590836338566,0.02962186668917231,0.019509150969885244,0.04288957458699626,0.018389271365587833,0.043165620962059004,0.0
0.0,1240,scm,1,0.2,0.4,True,0.03650434937184356,0.02453479349340299,0.04775712712999001,0.02763078219249851,0.032949549733376084,0.028126086257240425,0.03206960907152716,0.0
0.0,1240,scm,2,0.4,0.4,True,0.08545893245529758,0.08808714997354178,0.10935818268790795,0.03918227602707276,0.023923135862469906,0.039169418906566736,0.022012940529828814,0.0
