seed,selection_severity,exploration_rate,arm,generation,policy,funded_rate,funded_default_rate,book_profit,explored_profit,declined_ece,declined_mean_pd,declined_base_rate,all_ece,declined_empc,declined_emp_h,diag_propensity_auc,diag_ess_ratio,diag_below_floor,diag_flagged,n_explored,explored_defaults
1368,0.4,0.0,treatment,11,model,0.6,0.0475,0.0370278765,0.0,0.1837,0.1555,0.3356,0.0668,0.04,0.0054,0.9949,0.9329,0.3406,True,0,0
1368,0.4,0.0,frozen,0,prior,0.6,0.0925,0.0229281442,0.0,0.0945,0.2239,0.305,0.0369,0.0457,0.0214,0.8377,0.8954,0.0013,False,0,0
1368,0.4,0.0,frozen,1,model,0.6,0.0458,0.0368870756,0.0,0.0783,0.2924,0.3463,0.0364,0.045,0.003,0.995,0.9327,0.3981,True,0,0
1368,0.4,0.0,frozen,2,model,0.6,0.0342,0.0409379028,0.0,0.0788,0.2994,0.3525,0.0305,0.046,0.0025,0.9945,0.8948,0.3912,True,0,0
1368,0.4,0.0,frozen,3,model,0.6,0.045,0.036917501,0.0,0.0748,0.3059,0.3513,0.0333,0.0459,0.0036,0.9935,0.9351,0.3856,True,0,0
1368,0.4,0.0,frozen,4,model,0.6,0.0358,0.0385611962,0.0,0.0964,0.3029,0.3663,0.037,0.0478,0.0007,0.9955,0.9319,0.4006,True,0,0
1368,0.4,0.0,frozen,5,model,0.6,0.0387,0.0389333791,0.0,0.0811,0.2935,0.3544,0.0325,0.0454,0.0001,0.9946,0.946,0.37,True,0,0
1368,0.4,0.0,frozen,6,model,0.6,0.0475,0.0360741809,0.0,0.0725,0.3001,0.3481,0.0341,0.0468,0.0048,0.9947,0.9357,0.38,True,0,0
1368,0.4,0.0,frozen,7,model,0.6,0.0392,0.0392667321,0.0,0.0721,0.2973,0.35,0.0295,0.0436,0.0022,0.9937,0.9278,0.3969,True,0,0
1368,0.4,0.0,frozen,8,model,0.6,0.045,0.0388531611,0.0,0.0831,0.3152,0.37,0.0373,0.0506,0.0026,0.9956,0.937,0.4213,True,0,0
1368,0.4,0.0,frozen,9,model,0.6,0.0446,0.0386673917,0.0,0.0741,0.2986,0.3544,0.0325,0.0454,0.0017,0.9955,0.9197,0.4244,True,0,0
1368,0.4,0.0,frozen,10,model,0.6,0.0413,0.0396358482,0.0,0.0953,0.2912,0.3531,0.0413,0.0439,0.0029,0.9947,0.9264,0.3981,True,0,0
1368,0.4,0.0,frozen,11,model,0.6,0.0442,0.0383120568,0.0,0.0709,0.2938,0.3406,0.0322,0.0411,0.0036,0.9939,0.9432,0.3837,True,0,0
1368,0.4,0.0,prior,0,prior,0.6,0.0925,0.0229281442,0.0,0.0945,0.2239,0.305,0.0369,0.0457,0.0214,0.8377,0.8954,0.0013,False,0,0
1368,0.4,0.0,prior,1,model,0.6,0.0833,0.0248978553,0.0,0.1105,0.2008,0.29,0.0436,0.0381,0.0174,0.836,0.906,0.005,False,0,0
1368,0.4,0.0,prior,2,model,0.6,0.0783,0.0274337738,0.0,0.102,0.1929,0.2863,0.0376,0.0404,0.0196,0.829,0.9113,0.0025,False,0,0
1368,0.4,0.0,prior,3,model,0.6,0.0829,0.0258333242,0.0,0.1132,0.1855,0.2944,0.0411,0.0388,0.0152,0.8332,0.915,0.0013,False,0,0
1368,0.4,0.0,prior,4,model,0.6,0.085,0.0237368024,0.0,0.1151,0.1774,0.2925,0.0574,0.0401,0.0185,0.838,0.9122,0.0019,False,0,0
1368,0.4,0.0,prior,5,model,0.6,0.0825,0.0253055671,0.0,0.1159,0.1729,0.2888,0.0463,0.0395,0.0174,0.8288,0.9194,0.0031,False,0,0
1368,0.4,0.0,prior,6,model,0.6,0.0862,0.0232919218,0.0,0.0783,0.2272,0.29,0.0257,0.0428,0.0224,0.8275,0.9252,0.0013,False,0,0
1368,0.4,0.0,prior,7,model,0.6,0.0854,0.0241296889,0.0,0.0773,0.2033,0.2806,0.027,0.0398,0.0228,0.8172,0.9218,0.005,False,0,0
1368,0.4,0.0,prior,8,model,0.6,0.0896,0.0244984281,0.0,0.0984,0.2186,0.3031,0.0342,0.0432,0.0194,0.8334,0.9188,0.0025,False,0,0
1368,0.4,0.0,prior,9,model,0.6,0.0838,0.0264310968,0.0,0.1133,0.2297,0.2956,0.0344,0.0395,0.017,0.8278,0.92,0.0006,False,0,0
1368,0.4,0.0,prior,10,model,0.6,0.0938,0.0236408047,0.0,0.0777,0.1981,0.2744,0.0468,0.0351,0.0216,0.8291,0.9207,0.0006,False,0,0
1368,0.4,0.0,prior,11,model,0.6,0.0908,0.0229979449,0.0,0.0655,0.2117,0.2706,0.022,0.0345,0.0209,0.8349,0.9027,0.0013,False,0,0
1368,0.4,0.05,treatment,0,prior,0.6198,0.1,0.0216924819,-0.0012356622,0.019,0.2967,0.3037,0.0362,0.0412,0.0163,0.8377,0.8954,0.0013,False,79,26
1368,0.4,0.05,treatment,1,model,0.621,0.0668,0.0304103385,-0.0029156871,0.0988,0.2958,0.3285,0.0345,0.0408,0.0078,0.9861,0.8443,0.2956,True,84,36
1368,0.4,0.05,treatment,2,model,0.6172,0.0547,0.0353047528,-0.0019409506,0.082,0.3547,0.3338,0.0405,0.0404,0.0075,0.9834,0.8669,0.3106,True,69,26
1368,0.4,0.05,treatment,3,model,0.6222,0.0583,0.0333290399,-0.0015926287,0.1633,0.2037,0.3475,0.061,0.0387,0.001,0.9939,0.9413,0.3812,True,89,27
1368,0.4,0.05,treatment,4,model,0.6168,0.088,0.0226667684,-0.0014506435,0.0483,0.2496,0.2968,0.0171,0.0322,0.0181,0.9348,0.8175,0.0881,True,67,21
1368,0.4,0.05,treatment,5,model,0.6188,0.0683,0.0300950993,-0.0018111707,0.1336,0.3618,0.322,0.0569,0.0382,0.0053,0.9645,0.6993,0.1675,True,75,24
1368,0.4,0.05,treatment,6,model,0.622,0.0611,0.0329278859,-0.0025747139,0.1391,0.3346,0.3433,0.0413,0.0408,0.0013,0.9919,0.9023,0.2756,True,88,33
1368,0.4,0.05,treatment,7,model,0.6182,0.0578,0.0337274943,-0.001059765,0.1725,0.1621,0.3346,0.0678,0.0412,0.0072,0.9902,0.9319,0.2869,True,73,20
1368,0.4,0.05,treatment,8,model,0.6205,0.0733,0.0306615626,-0.0018904596,0.0896,0.2542,0.3412,0.0348,0.0441,0.0087,0.9751,0.8573,0.235,True,82,28
1368,0.4,0.05,treatment,9,model,0.6185,0.0825,0.0275340952,-0.0022326204,0.0478,0.3131,0.308,0.0434,0.0347,0.0091,0.9652,0.7989,0.1169,True,74,30
1368,0.4,0.05,treatment,10,model,0.622,0.0744,0.0306255556,-0.0024884633,0.1031,0.3258,0.3168,0.0358,0.0354,0.007,0.9816,0.6827,0.2612,True,88,35
1368,0.4,0.05,treatment,11,model,0.6225,0.0663,0.0324640771,-0.0007447481,0.067,0.2959,0.3219,0.0252,0.0403,0.0104,0.9847,0.9059,0.3513,True,90,23
1368,0.4,0.05,frozen,0,prior,0.6,0.0925,0.0229281442,0.0,0.0945,0.2239,0.305,0.0369,0.0457,0.0214,0.8377,0.8954,0.0013,False,0,0
1368,0.4,0.05,frozen,1,model,0.6232,0.0582,0.0342735972,-0.0026134784,0.076,0.293,0.3444,0.0364,0.0443,0.0034,0.995,0.9327,0.3981,True,93,35
1368,0.4,0.05,frozen,2,model,0.6162,0.0434,0.0390237835,-0.0019141193,0.079,0.299,0.3511,0.0305,0.0457,0.0024,0.9945,0.8948,0.3912,True,65,25
1368,0.4,0.05,frozen,3,model,0.6242,0.0545,0.035197024,-0.001720477,0.0763,0.3065,0.3553,0.0333,0.047,0.0036,0.9935,0.9351,0.3856,True,97,28
1368,0.4,0.05,frozen,4,model,0.6152,0.0439,0.0369036642,-0.001657532,0.0982,0.3029,0.3665,0.037,0.0479,0.0019,0.9955,0.9319,0.4006,True,61,22
1368,0.4,0.05,frozen,5,model,0.6195,0.0492,0.0364893602,-0.002444019,0.0798,0.2953,0.3535,0.0325,0.0455,0.0013,0.9946,0.946,0.37,True,78,29
1368,0.4,0.05,frozen,6,model,0.6212,0.0596,0.0332017292,-0.0028724517,0.0723,0.299,0.3452,0.0341,0.0461,0.0058,0.9947,0.9357,0.38,True,85,34
1368,0.4,0.05,frozen,7,model,0.619,0.0477,0.0379146817,-0.0013520504,0.073,0.2973,0.3517,0.0295,0.0442,0.0018,0.9937,0.9278,0.3969,True,76,24
1368,0.4,0.05,frozen,8,model,0.6188,0.0558,0.0366011573,-0.0022520038,0.0837,0.314,0.3685,0.0373,0.0499,0.0023,0.9956,0.937,0.4213,True,75,30
1368,0.4,0.05,frozen,9,model,0.6205,0.058,0.0359513108,-0.002716081,0.0687,0.2998,0.3491,0.0325,0.0442,0.0023,0.9955,0.9197,0.4244,True,82,37
1368,0.4,0.05,frozen,10,model,0.6208,0.054,0.0371014645,-0.0025343837,0.0942,0.2917,0.3494,0.0413,0.0429,0.0029,0.9947,0.9264,0.3981,True,83,35
1368,0.4,0.05,frozen,11,model,0.6205,0.0524,0.0371663021,-0.0011457547,0.0752,0.2936,0.3432,0.0322,0.0421,0.0038,0.9939,0.9432,0.3837,True,82,24
1368,0.4,0.05,prior,0,prior,0.6198,0.1,0.0216924819,-0.0012356622,0.019,0.2967,0.3037,0.0362,0.0412,0.0163,0.8377,0.8954,0.0013,False,79,26
1368,0.4,0.05,prior,1,model,0.6228,0.0915,0.0232191013,-0.0016787541,0.0439,0.2608,0.2889,0.0439,0.0392,0.0143,0.836,0.906,0.005,False,91,28
1368,0.4,0.05,prior,2,model,0.618,0.0845,0.0263136367,-0.0011201371,0.0778,0.237,0.286,0.0337,0.0379,0.0181,0.829,0.9113,0.0025,False,72,21
1368,0.4,0.05,prior,3,model,0.62,0.0903,0.0242483114,-0.0015850127,0.0732,0.2211,0.2934,0.0245,0.038,0.0144,0.8332,0.915,0.0013,False,80,25
1368,0.4,0.05,prior,4,model,0.616,0.0913,0.0221070772,-0.0016297252,0.0754,0.2715,0.291,0.0338,0.0416,0.0175,0.838,0.9122,0.0019,False,64,21
1368,0.4,0.05,prior,5,model,0.622,0.0896,0.0236235579,-0.0016820092,0.109,0.2094,0.289,0.0423,0.0399,0.0202,0.8288,0.9194,0.0031,False,88,25
1368,0.4,0.05,prior,6,model,0.6195,0.0944,0.0217001811,-0.0015917407,0.0667,0.2354,0.2871,0.0336,0.0391,0.0188,0.8275,0.9252,0.0013,False,78,27
1368,0.4,0.05,prior,7,model,0.6198,0.09,0.0236249853,-0.0005047036,0.154,0.1425,0.2834,0.0735,0.0404,0.0241,0.8172,0.9218,0.005,False,79,18
1368,0.4,0.05,prior,8,model,0.6198,0.0976,0.0227995537,-0.0016988744,0.0867,0.2308,0.3011,0.0572,0.04,0.0153,0.8334,0.9188,0.0025,False,79,27
1368,0.4,0.05,prior,9,model,0.6192,0.0937,0.0238647515,-0.0025663453,0.0591,0.3273,0.2902,0.0654,0.0392,0.0165,0.8278,0.92,0.0006,False,77,31
1368,0.4,0.05,prior,10,model,0.6195,0.0997,0.0228095707,-0.0008312341,0.0661,0.2604,0.274,0.0399,0.0366,0.0222,0.8291,0.9207,0.0006,False,78,22
