seed,generator,iteration,selection_severity,frontier_severity,passed,naive_declined_ece,reweight_declined_ece,retrain_declined_ece,naive_declined_empc,naive_declined_emp_h,reweight_declined_empc,reweight_declined_emp_h,exploration_cost
5,scm,1,0.2,0.4,True,0.04418453130307044,0.04342158624040023,0.05888712860954257,0.02931211380169741,0.03366802895763056,0.027962598069877054,0.033038327495241264,0.0
5,scm,2,0.4,0.4,True,0.09019858786205412,0.06186392045009712,0.08866518326628793,0.03678522812464226,0.014083570530654703,0.03606955308339635,0.01558984564795892,0.0
5,scm,3,0.6,0.4,False,0.23963812041300053,0.2071620720081185,0.23232339554693887,0.04655758846225373,0.002927224414927438,0.04521819517171204,0.0023253878952029373,0.0
11,scm,0,0.0,0.4,True,0.03259289924260552,0.04625066200127535,0.030460166518740124,0.02020146302396955,0.042164909394061915,0.019631065998976325,0.04088613470578863,0.0
11,scm,1,0.2,0.4,True,0.044800025056940335,0.04956629733416844,0.05174165797158441,0.029982556254548137,0.03614389414188664,0.029244997333846515,0.03669874575365875,0.0
11,scm,2,0.4,0.4,True,0.06125366258474822,0.06482167006040167,0.11230344609477141,0.043951363665593976,0.019439405933985073,0.04287850583849853,0.01741216284801281,0.0
11,scm,3,0.6,0.4,False,0.21201390480900972,0.19838162244043786,0.1977942629409966,0.04878613111296959,0.005074731188932407,0.04692702836177163,0.005313522401113256,0.0
17,scm,0,0.0,0.2,True,0.01762131404755644,0.016060077117696032,0.0385109117207632,0.019798141815401266,0.043369902812200295,0.019182142883781308,0.04355598321337503,0.0
17,scm,1,0.2,0.2,True,0.03817787179327401,0.045624467297090014,0.047369903243037116,0.029431384353125166,0.02592345859973275,0.029173973381999486,0.024911040573922093,0.0
17,scm,2,0.4,0.2,False,0.1258290133109716,0.10671659522453668,0.10937239091129268,0.04129616947074342,0.018846348328181255,0.04136233438967875,0.018750256876545326,0.0
19,scm,0,0.0,0.2,True,0.04221085564694096,0.028325270487786755,0.03193661779138873,0.01693063633641517,0.038287358818820644,0.018868293481904823,0.0390774527091811,0.0
19,scm,1,0.2,0.2,True,0.034010326740256655,0.024337001357989184,0.03132150162808233,0.02941297385229795,0.029158254387207382,0.02817427122289442,0.03060126871323035,0.0
19,scm,2,0.4,0.2,False,0.10642885480738924,0.10103882327053834,0.10569704087157394,0.039809789384016914,0.01806097255582348,0.03991484977817379,0.01874086190311619,0.0
23,scm,0,0.0,0.2,True,0.020568242210982763,0.018963137603174203,0.021744998080622392,0.01992329911946652,0.03853110686327388,0.02015448519405316,0.040091730430312084,0.0
23,scm,1,0.2,0.2,True,0.05786412417109438,0.05261010908904748,0.03996247324877064,0.0266418850975969,0.027531476614229757,0.028092544275310678,0.029556604964330057,0.0
23,scm,2,0.4,0.2,False,0.11493884856759712,0.10009676397722451,0.14053301540559282,0.041749607908806136,0.01733943199444446,0.04096415063936347,0.016276377303567145,0.0
29,scm,0,0.0,0.4,True,0.0194075486661538,0.018410545747218815,0.01976014662818898,0.018417195892353837,0.04230309493186572,0.01592011787491583,0.042113524489459236,0.0
29,scm,1,0.2,0.4,True,0.05629279081776427,0.04807887281103758,0.058914616860327895,0.03474771625079851,0.03413883682243815,0.03252646533176634,0.03430689575499093,0.0
29,scm,2,0.4,0.4,True,0.10658790776780505,0.08843315972801137,0.12457841592074573,0.04396216877066514,0.018970995442247906,0.04160973448234513,0.018099249465609944,0.0
29,scm,3,0.6,0.4,False,0.2773526196381873,0.28052110589594265,0.2469477969763859,0.04701254342886351,0.0038114211076012727,0.04577713335821011,0.0046932570430910075,0.0
31,scm,0,0.0,0.2,True,0.03367045049372673,0.027990680438797044,0.041727356499773785,0.018114044472884113,0.0430460290189788,0.018392269130053727,0.042956066806411904,0.0
31,scm,1,0.2,0.2,True,0.048854376926674464,0.04258137430690945,0.04361264450298326,0.028821726232355224,0.030260029929204083,0.029274683356339926,0.03071463337895882,0.0
31,scm,2,0.4,0.2,False,0.11966753114374411,0.10793740174112236,0.10948569233115327,0.0450170852987828,0.021430643288742054,0.04483656197354842,0.02120118506497588,0.0
37,scm,0,0.0,0.4,True,0.018039393112873257,0.021589057847857543,0.012939084874392161,0.019507213919282895,0.046062346995194285,0.0216650875732651,0.04621269317066844,0.0
37,scm,1,0.2,0.4,True,0.057146813861859144,0.05318879743494437,0.03995001650869054,0.026877038865668175,0.03320693964440707,0.031060284421434197,0.03420543921570894,0.0
37,scm,2,0.4,0.4,True,0.10102606841576331,0.09411876557408161,0.10394305875237296,0.04080094329702318,0.019270164390936113,0.037286828629633464,0.01879821524513947,0.0
37,scm,3,0.6,0.4,False,0.221430997763043,0.23990982659778912,0.2408833807681389,0.046732864719833456,0.004427724758716548,0.04412201001571553,0.003022733763793205,0.0
41,scm,0,0.0,0.2,True,0.0331089310772783,0.03354509782149428,0.025630671382572478,0.01733010491408466,0.03812798623091108,0.016979780293161464,0.03846443562098244,0.0
41,scm,1,0.2,0.2,True,0.0350788038466704,0.0456804295340379,0.04412759690612532,0.032484062491235366,0.029999552545989544,0.03243478227116749,0.02973617063885137,0.0
